x,y,z
2.3574795722961426,8.017674446105957,-2.9769701957702637
2.360039472579956,7.909266948699951,-2.976344585418701
2.3839590549468994,7.081570148468018,-2.974463701248169
2.3846304416656494,7.062446117401123,-2.97446870803833
2.385941982269287,7.024933338165283,-2.974475383758545
2.386582612991333,7.006539821624756,-2.9744772911071777
2.3878798484802246,6.970096111297607,-2.9744837284088135
2.3884761333465576,6.952411651611328,-2.974478006362915
2.3890786170959473,6.93483829498291,-2.9744722843170166
2.3896865844726562,6.917376518249512,-2.9744668006896973
2.3903000354766846,6.900027275085449,-2.974471092224121
2.3908345699310303,6.883507251739502,-2.9744505882263184
2.3913795948028564,6.867011070251465,-2.9744317531585693
2.4058284759521484,6.410970687866211,-2.9708144664764404
-5.125692367553711,12.331161499023438,-3.015650749206543
-4.502617835998535,-0.1753932535648346,-3.0322282314300537
